word,count
journal.issn0099-9660.archivedfrom,1
december2020.further,1
"readingberger,",1
eric.liftoff:,1
desperate,1
collins,1
"(2021).isbn978-0008445621davenport,",1
christian.the,1
barons;,1
musk.,1
colonize,1
"february2020.^hardy,",1
board,1
lz-2lz-4other,1
katie,1
sale,1
"securities"".",1
commission,1
(sec).,1
2002.archivedfrom,1
"domain.^""kimbal",1
"december2020.^abc""sec",1
2009.archivedfrom,1
"domain.^tzinis,",1
"2020).""ms.",1
"shotwell"".",1
"domain.^roof,",1
"2017).""paypal",1
gracias,1
co-founder,1
luke,1
nosek,1
"fund,",1
spacex-focused,1
"january2021.^schubarth,",1
cromwell,1
funded:,1
jurvetson,1
$200m,1
valley,1
"domain.^""antonio",1
cosmos.,1
publicaffairs,1
"(2018).isbn978-1610398299fernholz,",1
prototypesretiredgrasshopperf9r,1
"9v1.0v1.1""full",1
"thrust""",1
v1.2block,1
4cancelledfalcon,1
1e*falcon,1
5*falcon,1
air*bfr,1
its*spacecraftcargodragon,1
cargodragon,1
cargostarship*creweddragon,1
crewc206endeavourc207resiliencec210endurancestarship*test,1
vehiclescurrentstarship,1
dev1†dragonflystarhopperunflownf9r,1
tim.rocket,1
dev2*rocket,1
enginesmerlin1a1b*1c1dvacuumkestreldracosuperdracoraptorlists,1
missionsfalcon,1
heavystarlinkstarshiplaunch,1
facilitiesorbitalccsfsslc-40ksclc-39avsfbslc-4efloating,1
platforms*omelek,1
island†atmosphericmcgregornew,1
mexico†starbaseboca,1
chicalanding,1
sitesautonomous,1
shipslanding,1
zoneslz-1,1
historyretiredfalcon,1
developmentstarship*development,1
heavyin,1
5falcon,1
billionaires:,1
race.,1
houghton,1
mifflin,1
harcourt,1
"(2018).isbn978-1328662231vance,",1
ashlee.elon,1
how,1
shape,1
our,1
future.,1
penguin,1
random,1
house,1
uk,1
(2015).isbn978-0753555620external,1
linkswikimedia,1
media,1
tospacex.wikinews,1
to:spacexwikiquote,1
quotations,1
to:spacexofficial,1
websitevtespacexhistorylaunch,1
vehiclescurrentfalcon,1
9block,1
spaceflightinterstellar,1
travelplanetary,1
"august2020.^""sec",1
projectswikimedia,1
editcommunity,1
portalrecent,1
filetoolswhat,1
hererelated,1
filespecial,1
pagespermanent,1
linkpage,1
informationcite,1
pagewikidata,1
itemprint/exportdownload,1
pdfprintable,1
versionin,1
commonswikinewswikiquotelanguagesafrikaansالعربيةaragonésasturianuazərbaycancaتۆرکجهবাংলাbân-lâm-gúбеларускаяभोजपुरीбългарскиcatalàчӑвашлаčeštinachi-chewacymraegdanskdeutscheestiελληνικάespañolesperantoeuskaraفارسیfrançaisgaeilge한국어հայերենहिन्दीhrvatskibahasa,1
wikipediacontact,1
