ticker,date,time,headline,neg,neu,pos,compound
TSLA,2021-10-25,03:16PM,Teslas Market Cap Hit $1 Trillion. Heres the Math.,0.0,1.0,0.0,0.0
TSLA,2021-10-25,03:14PM,Why Tesla and Cloudflare Soared to All-Time Highs Monday,0.0,1.0,0.0,0.0
TSLA,2021-10-25,02:57PM,Cathie Wood's ARKK Wagers Overshadow Tesla's 45% Surge This Year,0.0,1.0,0.0,0.0
TSLA,2021-10-25,02:53PM,"Ford, GM earnings preview: How well did they manage supply-chain snags?",0.0,0.826,0.174,0.2732
TSLA,2021-10-25,02:48PM,"US STOCKS-S&P 500, Dow hit new highs with heavy week of earnings on tap",0.0,1.0,0.0,0.0
TSLA,2021-10-25,02:27PM,The Trillion Dollar Club - Tesla (NASDAQ:TSLA) Rockets After Earnings,0.0,1.0,0.0,0.0
TSLA,2021-10-25,01:47PM,"Dow Jones Rises, Nasdaq Leads Upside; Tesla Stock Reaches $1 Trillion Milestone; Facebook Rises Ahead Of Earnings",0.0,0.93,0.07,0.0516
TSLA,2021-10-25,01:35PM,Tesla Crosses $1 Trillion Market Cap Thanks to Hertz,0.0,0.734,0.266,0.4404
TSLA,2021-10-25,01:34PM,Tesla Is the First U.S. Auto Maker With a $1 Trillion Market Cap,0.0,1.0,0.0,0.0
TSLA,2021-10-25,01:18PM,Tesla hits $1 trillion market cap as shares rally to record high,0.0,0.833,0.167,0.296
TSLA,2021-10-25,01:11PM,UPDATE 1-Veoneer says Cummings to resign from board after NHTSA appointment,0.194,0.806,0.0,-0.34
TSLA,2021-10-25,01:01PM,"US STOCKS-S&P 500, Dow hit new highs; Big Tech struggles ahead of earnings",0.172,0.828,0.0,-0.3612
TSLA,2021-10-25,12:48PM,WRAPUP 1-Tesla drives over $1 trillion as investors bet the EV future is now,0.0,1.0,0.0,0.0
TSLA,2021-10-25,12:23PM,"Nasdaq Leads Stock Market Higher As Tesla Rallies, PayPal Denies Pinterest Reports",0.203,0.797,0.0,-0.4215
TSLA,2021-10-25,12:16PM,"Tesla sets sights on $1 trillion valuation after Hertzs plan to buy 100,000 Tesla EVs",0.0,1.0,0.0,0.0
TSLA,2021-10-25,11:15AM,"EV Roundup: TM's $3.4B Investment, TSLA's Blowout Q3 & More",0.0,1.0,0.0,0.0
TSLA,2021-10-25,11:15AM,Hertz Shares Gain on Tesla Order. Why the Deal Makes Sense for Both Companies.,0.0,0.682,0.318,0.6808
TSLA,2021-10-25,11:03AM,"Auto Stock Roundup: AN Inks Deal to Buy Priority 1, MGA Trims '21 View & More",0.0,1.0,0.0,0.0
TSLA,2021-10-25,10:59AM,4 Top Auto Stocks to Buy for the Long Haul,0.0,0.833,0.167,0.2023
TSLA,2021-10-25,10:41AM,Why Tesla Stock (and Hertz stock) Is Jumping Higher on Monday,0.0,1.0,0.0,0.0
TSLA,2021-10-25,10:08AM,Dow Jones Rallies As Tesla Surges To Record High; Donald Trump SPAC Slashes Gains; Facebook Earnings On Deck,0.089,0.792,0.119,0.1531
TSLA,2021-10-25,10:00AM,UPDATE 1-Tesla submits partial response in U.S. auto safety probe - memo,0.0,0.797,0.203,0.4215
TSLA,2021-10-25,10:00AM,Tesla Raises Prices Again. Why It Isnt an Issue for the EV Giant.,0.0,1.0,0.0,0.0
TSLA,2021-10-25,09:46AM,Tesla Shares Touch a Fresh Record as Good News Piles Up,0.0,0.519,0.481,0.7506
TSLA,2021-10-25,09:34AM,Tesla Model 3 becomes first EV to top European monthly sales,0.0,0.847,0.153,0.2023
TSLA,2021-10-25,09:07AM,Teslas new Full Self Driving software is rolling out after delays due to unknown issues,0.0,1.0,0.0,0.0
TSLA,2021-10-25,09:00AM,Obama Stock Portfolio: 10 Stocks to Consider,0.0,1.0,0.0,0.0
TSLA,2021-10-25,08:58AM,Tesla Is Growing Up. Watch Hertzs Car-Rental Fleet.,0.0,0.805,0.195,0.1779
TSLA,2021-10-25,08:46AM,Buy Tesla for the Giga Press. Stay for the Manufacturing Revolution.,0.0,1.0,0.0,0.0
TSLA,2021-10-25,08:20AM,"Tesla opens new China research, data centers; will store data locally",0.0,1.0,0.0,0.0
TSLA,2021-10-25,08:15AM,"Tesla opens new China research, data centers; will store data locally",0.0,1.0,0.0,0.0
GOOG,2021-10-26,10:43PM,"Dow Jones Futures: Market Rally Stalls, Donald Trump Stock DWAC Dives; Microsoft, Google, AMD Earnings In Focus",0.0,1.0,0.0,0.0
GOOG,2021-10-26,09:52PM,"Apples ad-mageddon is affecting Snap, Facebook, Google and Twitter differently",0.0,1.0,0.0,0.0
GOOG,2021-10-26,09:31PM,Alphabet inc (GOOGL) Q3 2021 Earnings Call Transcript,0.0,1.0,0.0,0.0
GOOG,2021-10-26,07:32PM,Alphabets Earnings Crushed. The Stock Is Wobbling.,0.318,0.682,0.0,-0.4215
GOOG,2021-10-26,07:05PM,"Microsofts Cloud-Computing Strength Fuels Revenue, Profit",0.0,0.396,0.604,0.7269
GOOG,2021-10-26,07:03PM,Google Growth Overshadowed by Slower YouTube and Cloud Results,0.0,0.755,0.245,0.3818
GOOG,2021-10-26,06:08PM,Google (Alphabet) Earnings: What Happened with GOOGL,0.0,1.0,0.0,0.0
GOOG,2021-10-26,06:03PM,"Q3 Deluge After the Closing Bell: GOOGL, MSFT, TWTR & More",0.0,1.0,0.0,0.0
GOOG,2021-10-26,05:55PM,"Home-price growth is slowing down  but that doesnt mean prices are falling and Facebook, Amazon, Google and others pledged billions for racial justice in 2020. Tracking where all the money went is almost impossible.",0.047,0.743,0.209,0.7615
GOOG,2021-10-26,05:51PM,Google Nearly Doubles Profit Behind Red-Hot Ad Market,0.0,0.707,0.293,0.4404
GOOG,2021-10-26,05:25PM,Alphabet Inc. (GOOG) Beats Q3 Earnings and Revenue Estimates,0.0,1.0,0.0,0.0
